,Datetime,Tweet Id,Text,Username
26,2021-03-20 06:23:18+00:00,1373158185532452864,"📌 जिस नंबर से आप Co-Win पोर्टल पर पंजीकरण करते हैं, उस नंबर को टीका लग जाने तक ना बदलें। टीकाकरण का दिन, समय, स्थान और दूसरी खुराक की तिथि आपको इसी नंबर पर दी जाएगी। 

     ",DistrictAdm_FBD
27,2021-03-20 02:01:13+00:00,1373092230001352706,"  के अंतर्गत कोविड    हेतु 60+ उम्र के लोगों का निबंधन.... जानकारी, जागरूकता, सहायता का उद्देश्य लेकर नगर क्षेत्र का भ्रमण अनवरत जारी है। गढ़हरा 1 एवं 2 बस्ती के वार्ड 8,10,11 में 
  
   ",BjymGmail
28,2021-03-20 00:45:36+00:00,1373073202147028994,"नमस्कार सुप्रभात ! 
दुनिया के   की बड़ी उपलब्धि। अब तक कोविड-19 वैक्सीन का 4 करोड़ से अधिक डोज दिया गया। 

    ",SanjayPorwalBjp
29,2021-03-19 19:11:04+00:00,1372989014249066497,"📌 सरकारी स्वास्थ्य केंद्रों पर कोविड-19 का टीकाकरण नि:शुल्क है, जबकि निजी केंद्रों पर आपको टीकाकरण करवाने के लिए पूर्वनिर्धारित शुल्क देना होगा।

     ",DistrictAdm_FBD
30,2021-03-19 17:16:24+00:00,1372960155587944457,"अल्मोड़ा छावनी के सभी कर्मचारियों को कोरोना वैक्सीन की प्रथम ख़ुराक दिये जाने पर बहुत बहुत शुभकामनाएं। आप लोगों के अथक प्रयास का ही नतीजा है कि अल्मोड़ा छावनी में आज तक कोविड का कोई केस नहीं है। हम आपके उत्तम स्वास्थ्य की कामना करते हैं🙏
       ",almoracantt
31,2021-03-19 16:32:46+00:00,1372949177907310596,"  दिल्ली में आज फिर कोरोना के 700 से अधिक मामले सामने आए। पिछले 24 घंटे में 716 नए मामले और 4 की मौत।   
         ",nishantdd
32,2021-03-19 16:09:13+00:00,1372943248352636929,"नेहरू युवा केंद्र संगठन जबलपुर के नेतृत्व में ब्राम्ही महिला मंडल के द्वारा कोरोना से बचाव हेतु शपथ एवं पंपलेट बांटे गए एवं जन-जन से मिलकर कोरोना से बचाव टीकाकरण के बारे में जानकारी दी गई एवं जागरूक किया गया।

 

  
   ",nyksjabalpur
33,2021-03-19 14:01:58+00:00,1372911225676263424,"  

📍  के कुल राज्यवार मामलों का विवरण (19 मार्च, 2021, सुबह 8 बजे तक)

      
 
            ",FOBSrinagar
34,2021-03-19 13:49:11+00:00,1372908010092195840,"  

📍बदलकर अपना व्यवहार, करें   पर वार। 

  से डरें नहीं बल्कि पूरी सावधानी के साथ इसका मुक़ाबला करें।

     
                 ",prodefencejammu
35,2021-03-18 08:36:51+00:00,1372467020084641792,दुनिया के   के 60वें दिन तक देश में कोविड-19 वैक्सीन का कुल डोज 3.48 करोड़ के पार।    से जुड़ी नवीनतम जानकारी व एसओपी के लिए विजिट करें:        ,FOBSrinagar
36,2021-03-18 07:26:07+00:00,1372449220225998854,कोरोना महामारी के दौरान रोग प्रतिरक्षा शक्ति बढ़ाने के लिए देखिए कुछ प्राकृतिक व आयुर्वेदिक तरीके। साथ ही कोविड अनुरूप व्यवहार का पालन करें और कोविड से जुड़ी प्रामाणिक जानकारी के लिए विजिट करें:         ,FOBSrinagar
